onset	duration	trial_type	value	sample
0.0	0.0002	New Segment/	1	0
0.0	0.0002	SyncStatus/Sync On	4	0
1.04	0.0002	SyncStatus/Sync On	4	5200
3.04	0.0002	SyncStatus/Sync On	4	15200
5.04	0.0002	SyncStatus/Sync On	4	25200
7.04	0.0002	SyncStatus/Sync On	4	35200
9.04	0.0002	SyncStatus/Sync On	4	45200
11.04	0.0002	SyncStatus/Sync On	4	55200
13.04	0.0002	SyncStatus/Sync On	4	65200
15.04	0.0002	SyncStatus/Sync On	4	75200
17.04	0.0002	SyncStatus/Sync On	4	85200
19.04	0.0002	SyncStatus/Sync On	4	95200
21.04	0.0002	SyncStatus/Sync On	4	105200
23.04	0.0002	SyncStatus/Sync On	4	115200
25.04	0.0002	SyncStatus/Sync On	4	125200
27.04	0.0002	SyncStatus/Sync On	4	135200
29.04	0.0002	SyncStatus/Sync On	4	145200
31.04	0.0002	SyncStatus/Sync On	4	155200
33.04	0.0002	SyncStatus/Sync On	4	165200
35.04	0.0002	SyncStatus/Sync On	4	175200
37.04	0.0002	SyncStatus/Sync On	4	185200
39.04	0.0002	SyncStatus/Sync On	4	195200
41.04	0.0002	SyncStatus/Sync On	4	205200
41.4532	0.0002	Tr/T  1	5	207266
42.0352	0.0002	Stimulus/S 39	2	210176
42.0892	0.0002	Stimulus/S255	3	210446
43.04	0.0002	SyncStatus/Sync On	4	215200
43.4532	0.0002	Tr/T  1	5	217266
45.04	0.0002	SyncStatus/Sync On	4	225200
45.4532	0.0002	Tr/T  1	5	227266
47.04	0.0002	SyncStatus/Sync On	4	235200
47.4532	0.0002	Tr/T  1	5	237266
49.04	0.0002	SyncStatus/Sync On	4	245200
49.4532	0.0002	Tr/T  1	5	247266
51.04	0.0002	SyncStatus/Sync On	4	255200
51.4532	0.0002	Tr/T  1	5	257266
53.04	0.0002	SyncStatus/Sync On	4	265200
53.4532	0.0002	Tr/T  1	5	267266
55.04	0.0002	SyncStatus/Sync On	4	275200
55.4532	0.0002	Tr/T  1	5	277266
57.04	0.0002	SyncStatus/Sync On	4	285200
57.4532	0.0002	Tr/T  1	5	287266
59.04	0.0002	SyncStatus/Sync On	4	295200
59.4532	0.0002	Tr/T  1	5	297266
61.04	0.0002	SyncStatus/Sync On	4	305200
61.4532	0.0002	Tr/T  1	5	307266
63.04	0.0002	SyncStatus/Sync On	4	315200
63.4532	0.0002	Tr/T  1	5	317266
65.04	0.0002	SyncStatus/Sync On	4	325200
65.4532	0.0002	Tr/T  1	5	327266
67.04	0.0002	SyncStatus/Sync On	4	335200
67.4532	0.0002	Tr/T  1	5	337266
69.04	0.0002	SyncStatus/Sync On	4	345200
69.4532	0.0002	Tr/T  1	5	347266
71.04	0.0002	SyncStatus/Sync On	4	355200
71.4532	0.0002	Tr/T  1	5	357266
73.04	0.0002	SyncStatus/Sync On	4	365200
73.4532	0.0002	Tr/T  1	5	367266
75.04	0.0002	SyncStatus/Sync On	4	375200
75.4532	0.0002	Tr/T  1	5	377266
77.04	0.0002	SyncStatus/Sync On	4	385200
77.4532	0.0002	Tr/T  1	5	387266
79.04	0.0002	SyncStatus/Sync On	4	395200
79.4532	0.0002	Tr/T  1	5	397266
81.04	0.0002	SyncStatus/Sync On	4	405200
81.4532	0.0002	Tr/T  1	5	407266
83.04	0.0002	SyncStatus/Sync On	4	415200
83.4532	0.0002	Tr/T  1	5	417266
85.04	0.0002	SyncStatus/Sync On	4	425200
85.4532	0.0002	Tr/T  1	5	427266
87.04	0.0002	SyncStatus/Sync On	4	435200
87.4532	0.0002	Tr/T  1	5	437266
