onset	duration	trial_type	value	sample
0.0	0.0002	New Segment/	1	0
0.0	0.0002	SyncStatus/Sync On	4	0
0.36	0.0002	SyncStatus/Sync On	4	1800
2.36	0.0002	SyncStatus/Sync On	4	11800
4.36	0.0002	SyncStatus/Sync On	4	21800
6.36	0.0002	SyncStatus/Sync On	4	31800
8.36	0.0002	SyncStatus/Sync On	4	41800
10.36	0.0002	SyncStatus/Sync On	4	51800
12.36	0.0002	SyncStatus/Sync On	4	61800
14.36	0.0002	SyncStatus/Sync On	4	71800
16.36	0.0002	SyncStatus/Sync On	4	81800
18.36	0.0002	SyncStatus/Sync On	4	91800
20.36	0.0002	SyncStatus/Sync On	4	101800
22.36	0.0002	SyncStatus/Sync On	4	111800
24.36	0.0002	SyncStatus/Sync On	4	121800
26.36	0.0002	SyncStatus/Sync On	4	131800
28.36	0.0002	SyncStatus/Sync On	4	141800
30.36	0.0002	SyncStatus/Sync On	4	151800
32.36	0.0002	SyncStatus/Sync On	4	161800
33.7906	0.0002	Tr/T  1	5	168953
33.9764	0.0002	Stimulus/S  1	2	169882
33.9976	0.0002	Stimulus/S255	3	169988
34.36	0.0002	SyncStatus/Sync On	4	171800
35.7906	0.0002	Tr/T  1	5	178953
36.36	0.0002	SyncStatus/Sync On	4	181800
37.7906	0.0002	Tr/T  1	5	188953
38.36	0.0002	SyncStatus/Sync On	4	191800
39.7906	0.0002	Tr/T  1	5	198953
40.36	0.0002	SyncStatus/Sync On	4	201800
41.7906	0.0002	Tr/T  1	5	208953
42.36	0.0002	SyncStatus/Sync On	4	211800
43.7906	0.0002	Tr/T  1	5	218953
44.36	0.0002	SyncStatus/Sync On	4	221800
45.7906	0.0002	Tr/T  1	5	228953
46.36	0.0002	SyncStatus/Sync On	4	231800
47.7906	0.0002	Tr/T  1	5	238953
48.36	0.0002	SyncStatus/Sync On	4	241800
49.7906	0.0002	Tr/T  1	5	248953
50.36	0.0002	SyncStatus/Sync On	4	251800
51.7906	0.0002	Tr/T  1	5	258953
52.36	0.0002	SyncStatus/Sync On	4	261800
53.7906	0.0002	Tr/T  1	5	268953
54.36	0.0002	SyncStatus/Sync On	4	271800
55.7906	0.0002	Tr/T  1	5	278953
56.36	0.0002	SyncStatus/Sync On	4	281800
57.7906	0.0002	Tr/T  1	5	288953
58.36	0.0002	SyncStatus/Sync On	4	291800
59.7906	0.0002	Tr/T  1	5	298953
60.36	0.0002	SyncStatus/Sync On	4	301800
61.7906	0.0002	Tr/T  1	5	308953
62.36	0.0002	SyncStatus/Sync On	4	311800
63.7906	0.0002	Tr/T  1	5	318953
64.36	0.0002	SyncStatus/Sync On	4	321800
65.7906	0.0002	Tr/T  1	5	328953
66.36	0.0002	SyncStatus/Sync On	4	331800
67.7906	0.0002	Tr/T  1	5	338953
68.36	0.0002	SyncStatus/Sync On	4	341800
69.7906	0.0002	Tr/T  1	5	348953
70.36	0.0002	SyncStatus/Sync On	4	351800
71.7906	0.0002	Tr/T  1	5	358953
72.36	0.0002	SyncStatus/Sync On	4	361800
73.7906	0.0002	Tr/T  1	5	368953
74.36	0.0002	SyncStatus/Sync On	4	371800
75.7906	0.0002	Tr/T  1	5	378953
76.36	0.0002	SyncStatus/Sync On	4	381800
77.7906	0.0002	Tr/T  1	5	388953
78.36	0.0002	SyncStatus/Sync On	4	391800
79.7906	0.0002	Tr/T  1	5	398953
80.36	0.0002	SyncStatus/Sync On	4	401800
81.7906	0.0002	Tr/T  1	5	408953
82.3168	0.0002	Stimulus/S  1	2	411584
82.3392	0.0002	Stimulus/S255	3	411696
